sample_accession,run_accession,collection_date,collection_date_start,collection_date_end,country,strain,isolation_source,instrument_platform,instrument_model,library_strategy
SAMN33830984,SRR23920166,missing,,,missing,PNUSAE130204,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN34132909,SRR24121579,missing,,,USA,PNUSAE132130,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN34132914,SRR24121583,missing,,,USA,PNUSAE132132,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN34132915,SRR24121598,missing,,,USA,PNUSAE132134,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN34133037,SRR24123097,missing,,,USA,PNUSAE132148,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN33843434,SRR23929761,2023,2023-01-01,2023-12-31,USA,PNUSAE130355,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN33845135,SRR23931328,missing,,,USA,PNUSAE130451,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN35441015,SRR24750738,missing,,,USA,PNUSAE137273,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN34138771,SRR24128250,2023-03,2023-03-01,2023-03-31,USA:SC,PNUSAE132197,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN34139002,SRR24128546,missing,,,USA,PNUSAE132256,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN34143375,SRR24133796,2023,2023-01-01,2023-12-31,missing,PNUSAE132283,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN34143412,SRR24133799,2023,2023-01-01,2023-12-31,missing,PNUSAE132286,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN34143421,SRR24133804,2023,2023-01-01,2023-12-31,missing,PNUSAE132288,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN34143383,SRR24133854,2023,2023-01-01,2023-12-31,missing,PNUSAE132287,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN34143371,SRR24133855,2022,2022-01-01,2022-12-31,missing,PNUSAE132278,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN34143426,SRR24133856,2023,2023-01-01,2023-12-31,missing,PNUSAE132281,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN34143429,SRR24133857,2023,2023-01-01,2023-12-31,missing,PNUSAE132298,missing,ILLUMINA,Illumina MiSeq,WGS
